Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27
204,19,3,3,2,1,4,2,4,3,3,4,4,4,3,4,2,2,5,2,1,1,1,2,3,3,4
205,17,5,5,3,3,5,1,5,5,3,4,2,4,4,4,3,1,4,4,3,3,2,4,4,1,4
205,21,3,3,4,2,5,1,4,4,3,4,2,4,4,4,3,4,4,3,2,1,3,4,3,3,4
206,21,4,3,3,2,5,3,4,4,1,3,1,3,5,5,3,4,5,1,3,1,3,5,5,1,3
206,1,3,5,5,1,5,1,3,3,1,1,1,3,5,3,1,1,5,5,3,1,3,5,3,1,5
206,15,5,5,3,5,5,3,5,5,3,3,1,3,5,3,5,1,5,3,3,3,3,5,5,1,5
207,14,4,5,4,1,5,1,4,3,1,5,3,4,4,4,3,3,4,2,1,1,1,3,2,1,3
207,19,2,4,3,1,5,1,2,2,1,4,3,3,3,4,3,3,2,2,2,1,3,3,2,3,4
208,24,5,5,4,1,5,1,5,5,5,5,5,5,5,5,1,2,1,5,1,1,2,5,3,3,5
208,16,5,3,3,3,5,1,5,5,5,5,1,5,4,5,1,1,5,3,1,1,3,5,5,1,5
209,16,4,3,3,4,4,1,4,4,3,5,2,2,3,5,4,1,4,2,4,1,4,3,4,1,3
209,19,3,4,2,2,5,1,3,3,3,5,2,4,3,5,2,2,4,2,1,1,2,4,2,1,2
210,14,4,5,4,2,5,1,4,5,2,5,3,4,5,5,1,2,3,3,1,1,3,4,3,1,4
210,19,5,5,4,2,5,1,4,4,3,5,3,4,4,5,1,3,4,3,2,1,3,4,4,1,4
211,25,3,3,3,2,3,3,4,4,2,5,5,4,3,5,3,3,2,4,2,1,5,3,1,3,3
211,15,4,5,5,3,3,2,3,5,2,2,4,1,5,2,3,2,3,5,3,4,2,5,2,3,5
212,15,2,4,4,2,2,2,4,4,3,1,2,2,4,2,2,3,2,2,2,2,2,3,2,2,4
212,14,2,2,1,1,2,2,2,1,2,1,1,2,3,2,3,2,1,1,2,1,2,3,1,2,1
213,17,4,4,4,3,5,3,4,4,5,2,4,4,4,3,3,4,4,4,3,3,3,3,3,4,4
213,13,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,4,3,3,3,3,3,3,3
214,24,5,5,5,2,4,1,5,5,2,5,3,5,5,5,4,3,3,5,1,1,5,5,3,3,5
214,19,3,1,1,2,2,2,3,3,3,3,2,3,2,5,4,4,3,1,3,1,5,2,3,3,2
215,23,4,4,4,2,4,2,4,4,1,3,2,3,5,4,1,1,4,1,1,4,2,4,2,1,4
215,13,2,3,3,2,3,2,2,2,1,1,2,2,4,2,1,2,2,1,1,2,2,4,1,1,3
216,1,3,4,4,3,4,2,3,3,1,3,2,3,3,3,2,2,3,4,2,1,5,3,2,2,3
216,3,3,2,2,4,4,3,3,3,1,3,2,3,3,2,4,3,3,3,4,2,5,3,2,3,3
216,16,3,1,2,5,3,4,3,4,2,3,3,2,1,2,5,3,2,1,5,1,5,1,1,5,1
217,1,5,5,5,1,1,1,5,4,1,3,1,5,5,3,2,1,2,5,1,1,4,5,3,3,4
217,16,5,4,3,4,5,3,5,5,5,5,1,5,3,5,4,1,5,3,3,1,4,5,5,1,4
301,17,5,4,4,3,5,3,4,4,2,4,2,2,5,3,4,4,4,3,3,3,3,4,2,2,4
301,24,4,4,4,2,4,2,4,4,2,4,3,4,4,2,2,3,3,2,1,1,3,4,1,2,4
302,23,3,3,3,2,3,1,4,4,3,3,1,3,4,4,2,2,2,3,1,4,2,4,3,1,4
302,16,4,2,2,4,3,2,4,4,3,5,1,2,2,3,4,1,2,3,4,1,2,1,4,1,2
303,25,4,4,4,2,5,2,3,3,1,4,4,4,4,5,3,4,1,4,2,1,3,4,1,1,5
303,1,4,4,5,1,5,2,4,4,1,2,1,3,4,4,2,1,1,5,3,1,2,4,1,1,4
304,16,4,4,4,2,5,2,4,4,3,4,1,4,4,5,3,2,4,5,1,1,3,4,2,1,4
304,21,3,3,4,4,5,1,4,4,2,3,3,3,4,5,3,2,4,5,2,1,3,4,1,3,4
304,19,2,2,1,2,5,1,3,3,3,3,3,3,3,5,1,2,3,3,1,1,3,4,3,2,4
305,23,3,4,4,2,5,2,4,4,2,4,2,3,4,4,3,2,4,4,2,3,3,4,3,1,4
305,15,4,4,4,2,5,2,4,4,2,3,2,2,4,4,4,2,2,4,2,3,3,4,3,1,4
306,25,4,5,4,1,5,1,3,3,1,3,2,3,3,3,1,2,2,2,1,1,2,4,1,2,4
307,17,4,4,5,4,4,3,4,4,5,5,1,3,3,4,4,1,5,5,4,3,2,4,5,1,4
307,3,4,4,4,5,4,3,4,3,5,5,1,3,4,5,4,1,5,3,4,3,2,4,5,1,4
308,24,4,4,4,1,4,1,3,4,2,3,3,3,4,4,1,2,2,3,1,1,3,4,2,3,4
308,25,4,4,4,1,4,1,3,4,2,3,3,3,4,4,1,2,2,3,1,1,3,4,2,3,4
309,13,5,4,4,3,4,2,5,4,1,3,1,2,4,4,4,1,4,4,3,3,4,4,3,1,4
309,25,5,5,4,1,2,2,3,4,1,3,3,3,4,4,3,2,3,4,2,1,3,4,1,4,4
310,25,4,3,3,2,4,2,3,3,1,4,3,2,3,4,2,2,1,2,2,1,3,3,1,3,3
310,24,3,3,3,2,4,2,3,3,1,4,3,2,3,4,3,3,2,2,2,1,3,3,1,4,3
311,13,4,3,3,3,5,3,4,3,4,5,1,1,3,5,4,1,1,3,3,2,3,3,4,1,3
311,24,4,4,3,1,5,2,3,3,1,3,2,5,3,3,3,5,3,3,1,1,2,1,1,5,3
312,24,5,4,3,1,5,2,3,3,2,3,2,4,4,3,3,4,1,2,1,1,3,4,1,2,4
312,3,4,5,3,3,4,1,3,4,3,2,2,3,4,2,4,2,1,1,2,3,3,4,2,3,3
313,25,4,4,4,1,4,1,3,3,2,4,1,4,4,3,1,4,4,4,2,1,2,4,2,3,4
313,15,3,4,4,3,4,1,3,4,4,3,1,2,3,2,3,4,4,4,3,4,4,3,3,1,4
314,16,4,3,2,4,5,3,4,4,5,5,1,3,3,5,3,2,5,3,5,1,5,3,3,1,3
314,23,4,4,4,3,5,3,5,4,3,2,2,1,4,2,3,1,3,2,3,4,3,4,3,3,4
314,13,3,4,4,1,5,3,4,4,2,2,2,3,4,2,3,3,3,3,2,3,4,4,2,3,3
315,15,4,4,4,3,3,3,3,4,2,3,1,2,4,3,3,3,1,5,3,3,4,4,1,3,4
315,13,3,3,3,3,4,3,3,4,2,3,1,2,4,4,3,2,3,4,3,1,4,3,3,2,3
316,24,4,3,4,2,5,2,4,3,1,4,3,3,4,4,2,3,3,3,1,1,3,3,1,3,3
316,1,4,3,3,2,5,2,4,3,3,5,4,3,3,5,2,3,2,2,1,1,3,3,2,3,3
316,17,5,4,3,4,5,2,5,4,3,2,2,1,2,3,4,1,4,2,4,3,3,3,3,1,3
317,23,5,4,4,2,5,2,5,5,2,4,2,1,4,4,2,1,5,4,2,3,2,4,3,2,4
401,19,3,4,2,2,5,2,4,3,3,5,3,3,4,5,2,3,4,2,2,1,1,4,2,2,4
401,14,4,4,3,2,5,2,4,4,2,5,4,3,4,5,2,3,4,3,1,1,1,5,3,3,4
402,24,4,4,4,2,4,2,5,5,1,4,1,5,5,3,2,1,5,3,1,1,3,4,3,1,4
402,19,3,2,2,4,5,3,3,2,5,5,1,2,2,3,3,1,5,1,5,1,5,2,1,3,3
402,17,5,4,4,4,5,3,5,5,5,1,1,3,5,2,3,1,4,4,3,4,3,4,5,1,4
403,21,4,3,4,1,5,2,4,4,1,3,2,4,4,4,3,3,3,3,1,1,4,3,1,1,4
404,14,3,4,2,2,5,2,4,3,1,5,1,5,3,4,2,2,4,2,1,1,1,3,1,1,2
404,19,2,4,2,2,5,2,3,2,1,4,1,5,2,4,2,2,4,2,1,1,1,2,1,2,2
405,24,5,4,4,2,5,2,4,3,4,4,4,4,4,5,3,4,2,3,2,1,4,4,4,2,4
405,13,5,4,4,3,5,3,4,4,3,4,3,2,4,5,3,2,2,4,3,4,3,4,4,1,4
406,24,4,4,4,1,4,1,4,4,2,5,4,4,4,4,3,2,3,3,1,1,3,4,2,1,4
406,13,4,4,4,1,4,1,4,4,2,4,2,4,4,4,2,1,4,4,2,3,2,4,2,2,4
407,24,4,4,4,2,5,3,4,3,2,5,2,5,4,4,3,2,4,3,2,1,5,4,4,2,4
407,14,2,2,1,3,4,4,3,2,2,5,1,4,2,4,4,3,4,1,4,1,5,3,4,2,3
408,14,4,3,3,3,5,4,5,3,2,5,1,5,4,5,3,3,4,4,4,1,4,3,3,3,4
408,16,4,3,3,2,5,4,4,3,2,5,1,5,3,5,3,2,4,3,4,1,4,3,3,3,3
409,25,4,4,3,2,4,2,4,4,2,5,3,4,4,5,3,3,2,2,2,1,4,3,2,1,3
409,14,2,3,2,2,2,2,3,3,2,4,3,3,3,4,3,3,4,2,2,1,4,4,2,3,3
410,21,4,3,4,2,5,1,4,4,3,4,1,3,3,5,3,1,3,2,2,1,3,3,2,1,3
501,17,4,4,4,4,4,1,4,4,3,4,1,2,3,4,4,2,4,4,3,3,1,3,2,2,4
501,19,2,3,3,1,4,1,2,2,2,3,1,3,3,3,2,4,4,3,1,1,1,2,1,1,2
502,14,4,4,3,2,4,3,4,4,3,3,1,3,3,5,3,2,4,3,2,1,1,3,1,2,3
503,21,4,4,5,2,5,2,5,4,3,5,1,2,5,5,2,1,5,3,1,1,4,4,3,1,4
503,19,3,4,3,1,5,1,3,4,4,5,1,3,4,5,1,3,5,2,1,1,4,3,3,1,4
504,24,5,4,4,1,5,1,4,4,3,4,3,5,5,5,2,3,3,3,1,1,5,4,2,2,4
504,13,3,3,4,2,5,1,4,3,3,4,2,1,4,5,1,1,2,3,2,2,5,4,3,4,4
505,1,5,4,5,3,5,2,5,4,3,4,2,4,4,4,2,3,3,4,2,1,2,4,1,3,5
505,14,4,3,3,4,5,3,4,4,4,5,2,4,4,4,3,1,5,2,3,1,3,4,3,1,4
505,19,4,3,3,3,5,2,4,4,4,5,1,4,3,5,3,3,5,3,3,1,3,4,4,1,4
506,1,3,4,5,1,5,1,3,2,2,1,2,3,5,1,3,2,3,5,2,1,4,5,1,2,4
506,3,5,4,4,4,5,3,4,5,3,4,1,2,3,5,5,1,4,4,4,2,4,4,2,1,4
507,25,5,5,5,2,5,2,5,5,2,5,5,3,5,5,3,5,5,5,1,1,3,5,3,1,5
507,16,5,4,4,1,5,3,5,5,5,5,2,2,4,5,3,3,5,2,2,1,4,3,5,1,4
508,21,4,3,3,3,4,3,4,3,2,3,4,2,3,5,3,2,4,2,2,1,2,3,2,2,3
508,1,4,4,4,2,4,2,4,3,2,5,2,3,4,5,2,2,2,4,2,1,2,4,2,2,3
508,16,4,3,2,4,4,3,3,3,2,5,3,3,3,4,3,2,3,2,2,1,2,2,4,3,3
509,24,5,5,5,4,5,4,5,5,2,4,2,4,5,2,4,5,4,3,1,1,3,3,1,1,5
509,25,5,5,5,4,5,3,4,4,1,2,2,2,4,1,5,1,3,3,3,1,3,3,2,4,4
600,13,4,4,4,3,3,2,4,4,2,4,1,1,4,4,3,1,4,4,2,3,3,4,2,1,4
600,23,4,3,4,3,5,2,4,4,4,3,1,2,4,4,3,1,4,4,2,4,3,3,2,1,4
601,1,5,5,5,3,5,3,5,2,3,5,1,3,5,5,1,2,2,5,1,2,3,5,5,3,5
601,15,5,5,5,4,4,1,5,5,5,5,1,5,5,5,1,1,5,5,1,5,2,5,5,1,5
601,14,5,3,4,5,5,3,5,4,5,5,5,5,4,5,3,1,5,2,3,1,2,5,5,1,4
602,14,4,4,3,2,4,3,4,4,2,4,2,4,3,4,3,1,3,3,3,1,3,4,1,1,3
602,19,4,3,2,3,4,3,4,3,1,4,2,4,3,4,3,2,4,2,3,1,3,4,3,1,3
603,1,4,3,4,2,5,2,4,4,2,1,2,3,3,3,2,2,2,2,2,1,2,3,2,3,3
603,25,4,4,4,3,5,2,4,4,2,3,2,3,4,3,2,3,3,4,2,1,3,4,2,3,4
604,17,4,5,4,4,5,2,5,5,3,5,5,5,5,5,2,4,3,3,1,3,3,5,1,1,5
604,25,4,5,4,3,5,3,5,4,3,5,5,4,4,5,3,3,1,1,3,1,3,4,1,1,4
605,21,4,3,3,3,4,3,4,4,1,4,3,3,3,3,3,3,3,1,2,1,4,3,1,2,3
605,14,3,3,3,3,4,3,4,3,1,4,3,3,3,3,3,3,2,1,3,1,3,3,1,2,3
607,13,3,3,2,4,5,2,3,1,3,4,3,2,3,4,1,2,2,2,4,2,5,2,3,2,2
608,1,2,3,3,1,3,2,3,3,1,2,3,3,3,2,3,3,2,2,2,1,5,3,1,2,3
608,25,3,3,3,2,3,2,3,3,1,3,3,3,3,3,3,2,2,2,2,1,4,3,1,2,3
609,24,4,4,3,2,5,2,4,3,1,4,3,4,4,3,2,3,1,1,1,1,2,3,2,2,3
610,3,4,5,4,3,5,2,5,4,3,4,1,3,5,4,4,1,3,2,2,4,2,5,2,1,5
610,17,4,5,4,2,5,2,5,4,2,4,1,3,5,4,4,1,5,4,2,3,2,4,3,1,5
610,16,4,5,4,2,4,1,5,4,3,5,2,2,4,5,3,1,2,2,2,2,1,5,3,1,5
611,16,5,4,4,2,4,2,4,4,3,3,3,3,4,4,3,3,3,4,2,1,2,4,3,4,4
612,16,2,1,1,4,5,4,2,2,1,2,5,3,2,1,3,3,2,1,4,1,4,1,1,4,2
613,21,4,3,4,2,5,1,4,4,3,4,2,3,4,4,2,3,4,3,2,1,5,4,2,2,3
613,16,5,4,4,3,5,2,5,5,3,5,1,1,4,5,3,3,4,4,3,1,5,4,3,2,4
614,13,5,4,4,3,5,1,5,4,3,5,2,1,4,5,3,1,4,4,1,3,3,4,5,1,4
614,17,5,4,4,3,5,1,4,4,3,5,1,1,5,4,3,1,4,4,3,3,3,4,4,1,4
615,21,4,3,4,5,5,2,3,3,3,5,3,3,4,5,3,3,5,4,3,1,3,3,3,2,3
615,1,4,3,4,2,5,2,3,4,3,2,2,3,4,2,2,2,3,5,3,1,2,3,1,1,4
616,24,4,5,4,1,5,1,4,4,3,5,1,4,4,4,1,3,3,4,1,1,1,5,3,1,4
616,23,5,5,4,3,5,1,4,4,4,5,1,3,4,5,4,1,4,4,1,3,3,4,4,1,4
617,14,3,4,3,1,5,3,4,4,1,5,5,4,4,5,3,3,3,2,1,1,5,3,2,2,3
617,16,4,4,4,2,5,3,4,4,3,5,5,4,4,5,4,3,3,3,3,1,3,3,3,3,4
617,19,3,4,3,2,5,3,4,3,4,5,5,4,3,3,3,3,3,3,2,1,3,3,4,3,3
618,24,4,4,2,1,5,1,4,3,1,5,5,2,3,4,2,4,2,1,1,1,1,3,1,2,4
618,14,3,2,2,3,5,1,4,3,4,4,4,3,2,5,4,3,3,1,2,1,5,4,3,2,2
619,15,4,4,3,3,5,1,5,5,3,2,3,2,4,2,3,1,2,3,1,3,1,3,3,1,4
619,25,4,4,3,3,5,1,4,4,3,5,5,5,4,5,3,3,1,2,1,1,1,4,2,1,5
620,25,4,4,4,1,5,2,4,3,2,4,1,1,4,3,2,2,1,3,1,1,2,4,3,2,4
620,24,4,4,4,1,5,2,4,3,2,4,1,1,4,3,2,2,1,3,1,1,2,4,3,2,4
621,24,4,5,4,1,4,2,4,4,2,4,3,4,4,4,1,3,3,4,1,1,2,4,1,1,4
622,16,4,4,4,3,4,1,4,4,3,5,3,3,4,4,3,2,4,4,3,2,2,4,4,1,4
623,25,5,5,5,2,5,1,4,4,2,3,3,4,5,4,2,1,1,3,1,1,3,4,1,2,4
623,16,4,2,2,5,4,2,4,3,4,5,2,3,2,5,4,2,3,1,5,1,5,2,4,2,1
624,24,5,4,4,1,5,1,5,5,5,5,5,4,4,4,2,4,3,4,1,1,3,3,1,3,3
624,21,3,3,3,2,5,2,3,3,1,5,2,2,2,3,3,3,3,3,2,1,4,2,1,4,2
625,25,4,5,5,2,5,2,5,4,3,4,3,5,5,5,3,3,2,2,2,1,1,5,2,3,5
625,13,3,5,5,4,5,3,4,5,5,5,3,2,5,5,3,2,3,3,3,3,4,5,5,2,5
626,21,3,4,3,1,4,1,4,3,2,4,1,4,4,4,1,3,4,2,1,1,1,3,3,3,4
627,17,4,5,5,3,5,1,5,4,3,2,1,5,5,3,1,1,4,5,2,4,2,5,3,1,5
627,3,4,4,4,3,5,1,4,5,3,2,1,3,4,2,1,1,2,3,2,4,2,4,3,2,5
628,16,4,4,2,3,5,2,4,4,4,5,1,3,4,4,4,1,5,2,2,1,4,3,3,1,3
628,3,5,4,4,4,5,3,5,4,5,3,1,4,4,2,4,1,3,3,2,4,3,3,4,1,4
628,14,4,4,3,3,5,2,4,2,3,4,2,3,4,4,3,1,3,2,2,1,3,3,3,1,3
629,24,4,4,4,2,5,1,5,3,1,5,3,5,4,4,3,4,3,4,2,1,3,5,1,2,4
629,19,4,3,1,3,5,2,4,3,2,5,3,5,3,5,3,2,3,1,3,1,1,4,1,2,2
630,25,4,4,3,2,3,1,4,3,2,4,3,3,4,4,2,2,1,2,1,1,3,4,1,2,4
630,16,4,2,2,4,4,3,4,4,4,4,2,3,3,4,4,1,3,3,4,1,4,4,4,1,3
631,14,2,3,2,4,5,2,3,3,1,4,2,3,3,3,3,4,3,2,3,1,5,2,1,2,2
631,21,2,3,2,4,5,2,3,3,1,4,2,3,3,3,3,4,3,2,3,1,5,2,1,2,2
632,14,5,5,5,4,5,2,5,5,5,5,1,5,5,5,5,1,5,5,2,1,1,5,5,1,5
633,15,5,5,5,4,5,1,5,4,3,5,4,3,5,5,3,1,4,4,2,3,1,5,4,1,5
633,3,5,5,5,4,5,1,5,4,3,5,4,3,5,5,3,1,4,4,2,3,1,5,4,1,5
634,15,3,3,4,2,4,3,3,2,2,3,3,2,4,3,3,2,3,4,3,4,3,3,3,2,4
634,19,3,2,2,2,4,3,3,2,2,4,3,4,2,2,3,2,1,1,3,1,4,3,2,3,3
635,25,3,3,4,1,4,2,3,3,1,4,2,4,4,3,2,4,2,4,1,1,3,4,2,2,4
635,24,3,3,4,1,4,2,3,3,1,4,2,4,4,3,2,4,2,4,1,1,3,4,2,2,4
636,21,3,3,3,2,4,2,4,3,2,3,2,3,4,3,2,2,2,3,2,1,3,3,2,2,4
636,14,3,3,2,2,4,2,3,2,1,3,2,4,3,4,3,2,2,2,3,1,3,3,2,2,3
636,16,2,2,2,4,4,2,2,2,4,4,2,3,2,2,4,2,3,2,4,1,4,3,2,2,2
637,17,4,4,4,3,4,2,4,3,2,3,2,3,4,3,3,3,2,4,2,3,3,4,2,2,4
637,25,3,4,4,1,4,2,3,3,2,4,3,4,4,4,3,4,3,4,1,1,3,4,2,2,4
638,17,5,4,4,3,4,3,4,4,4,4,1,3,4,4,4,1,4,4,3,4,2,4,4,1,4
638,25,4,4,4,1,4,1,4,4,3,4,2,4,4,3,3,3,3,4,1,1,2,3,3,2,4
639,21,3,3,3,3,4,2,3,3,2,3,2,3,4,3,2,3,2,3,2,1,3,3,2,2,3
639,25,4,4,4,1,4,1,4,3,2,4,3,4,4,4,2,2,2,4,1,1,2,4,2,3,4
